name,region
Belgien,EU
Bulgarien,EU
Tschechische Republik,EU
Dänemark,EU
Deutschland,EU
Estland,EU
Irland,EU
Griechenland,EU
Spanien,EU
Frankreich,EU
Kroatien,EU
Italien,EU
Zypern,EU
Lettland,EU
Litauen,EU
Luxemburg,EU
Ungarn,EU
Malta,EU
Niederlande,EU
Österreich,EU
Polen,EU
Portugal,EU
Rumänien,EU
Slowenien,EU
Slowakei,EU
Finnland,EU
Schweden,EU
Großbritannien,EU
Ägypten,Afrika
Algerien,Afrika
Angola,Afrika
Äquatorialguinea,Afrika
Äthiopien,Afrika
Benin,Afrika
Botsuana,Afrika
Burkina Faso,Afrika
Burundi,Afrika
Dschibuti,Afrika
Côte d'Ivoire,Afrika
Eritrea,Afrika
Gabun,Afrika
Gambia,Afrika
Ghana,Afrika
Guinea,Afrika
Guinea-Bissau,Afrika
Kamerun,Afrika
Kap Verde,Afrika
Kenia,Afrika
Komoren,Afrika
Kongo,Afrika
"Kongo, Republik",Afrika
Lesotho,Afrika
Liberia,Afrika
Libyen,Afrika
Madagaskar,Afrika
Malawi,Afrika
Mali,Afrika
Marokko,Afrika
Mauretanien,Afrika
Mauritius,Afrika
Mosambik,Afrika
Namibia,Afrika
Niger,Afrika
Nigeria,Afrika
Ruanda,Afrika
Sambia,Afrika
São Tomé und Príncipe,Afrika
Senegal,Afrika
Seychellen,Afrika
Sierra Leone,Afrika
Simbabwe,Afrika
Somalia mit Somaliland,Afrika
Südafrika,Afrika
Sudan,Afrika
Südsudan,Afrika
Swasiland,Afrika
Tansania,Afrika
Togo,Afrika
Tschad,Afrika
Tunesien,Afrika
Uganda,Afrika
Westsahara,Afrika
Zentralafrikanische Republik,Afrika
Mongolei,Asien
Russische Föderation,Europa
China,Asien
Taiwan,Asien
Japan,Asien
Hongkong,Asien
"Korea, DVR",Asien
Korea,Asien
Bangladesch,Asien
Bhutan,Asien
Indien,Asien
Malediven,Asien
Nepal,Asien
Pakistan,Asien
Sri Lanka,Asien
Brunei,Asien
Indonesien,Asien
Kambodscha,Asien
Laos,Asien
Malaysia,Asien
Myanmar,Asien
Philippinen,Asien
Singapur,Asien
Thailand,Asien
Osttimor / Timor-Leste,Asien
Vietnam,Asien
Armenien,Asien
Aserbaidschan,Asien
Bahrain,Asien
Georgien,Asien
Irak,Asien
Iran,Asien
Israel,Asien
Jemen,Asien
Jordanien,Asien
Katar,Asien
Kuwait,Asien
Libanon,Asien
Oman,Asien
Saudi-Arabien,Asien
Syrien mit Golanhöhen,Asien
Türkei,Asien
VAE,Asien
Zypern,Asien
Afghanistan,Asien
Kasachstan,Asien
Kirgisistan,Asien
Tadschikistan,Asien
Turkmenistan,Asien
Usbekistan,Asien
Antigua und Barbuda,Lateinamerika
Argentinien,Lateinamerika
Bahamas,Lateinamerika
Barbados,Lateinamerika
Belize,Lateinamerika
Bolivien,Lateinamerika
Brasilien,Lateinamerika
Chile,Lateinamerika
Costa Rica,Lateinamerika
Dominica,Lateinamerika
Dominikanische Republik,Lateinamerika
El Salvador,Lateinamerika
Ecuador,Lateinamerika
Grenada,Lateinamerika
Guatemala,Lateinamerika
Guyana,Lateinamerika
Haiti,Lateinamerika
Honduras,Lateinamerika
Jamaika,Lateinamerika
Kanada,Nordamerika
Kolumbien,Lateinamerika
Kuba,Lateinamerika
Mexiko,Lateinamerika
Nicaragua,Lateinamerika
Panama,Lateinamerika
Paraguay,Lateinamerika
Peru,Lateinamerika
St. Kitts und Nevis,Lateinamerika
St. Lucia,Lateinamerika
St. Vincent und die Grenadinen,Lateinamerika
Suriname,Lateinamerika
Trinidad und Tobago,Lateinamerika
Uruguay,Lateinamerika
Venezuela,Lateinamerika
USA,Nordamerika
Australien,Ozeanien
Neuseeland,Ozeanien
Bosnien und Herzegowina,Europa
Albanien,Europa
Island,Europa
Kosovo,Europa
Mazedonien,Europa
Moldau,Europa
Montenegro,Europa
Norwegen,Europa
Schweiz,Europa
Serbien,Europa
Ukraine,Europa
Weißrussland,Europa
Palästinensische Gebiete,Asien
