Land,AV-Ort,Schengen gesamt erteilt,Schengen gesamt abgelehnt,Schengen gesamt bearbeitet,Schengen Ablehnungsquote,D gesamt erteilt,D gesamt abgelehnt,D gesamt bearbeitet,D Ablehnungsquote
Afghanistan,Kabul,1623,1321,2944,44.87%,684,182,866,21.02%
Ägypten,Kairo,21575,1493,23068,6.47%,2244,148,2392,6.19%
Albanien,Tirana,34,14,48,29.17%,544,96,640,15.00%
Algerien,Algier,3758,129,5048,25.55%,469,80,549,14.57%
Angola,Luanda,1797,715,2512,28.46%,104,11,115,9.57%
Argentinien,Buenos Aires,146,9,155,5.81%,741,32,773,4.14%
Armenien,Eriwan,12155,789,12944,6.10%,540,90,630,14.29%
Aserbaidschan,Baku,12901,374,13275,2.82%,594,66,660,10.00%
Äthiopien,Addis Abeba,3484,379,3863,9.81%,586,64,650,9.85%
Australien,Canberra,152,5,157,3.18%,100,0,100,0.00%
Australien,Melbourne,21,0,21,0.00%,47,8,55,14.55%
Australien,Sydney,985,92,1077,8.54%,801,57,858,6.64%
Australien Gesamt,,1158,97,1255,7.73%,948,65,1013,6.42%
Bahrain,Manama,6068,57,6125,0.93%,45,2,47,4.26%
Bangladesh,Dhaka,2841,549,339,16.19%,1114,253,1367,18.51%
Belgien,Brüssel,11,0,11,0.00%,196,27,223,12.11%
Benin,Cotonou,780,113,893,12.65%,76,33,109,30.28%
Bolivien,La Paz,1164,38,1202,3.16%,253,15,268,5.60%
Bosnien und Herzegowina,Sarajewo,110,36,146,24.66%,4885,726,5611,12.94%
Botsuana,Gaborone,945,9,954,0.94%,19,0,19,0.00%
Brasilien,Porto Alegre,21,0,21,0.00%,343,12,355,3.38%
Brasilien,Recife,38,0,38,0.00%,94,21,115,18.26%
Brasilien,Rio de Janeiro,81,0,81,0.00%,226,15,241,6.22%
Brasilien,Sao Paulo,207,22,229,9.61%,717,33,750,4.40%
Brasilien Gesamt,,347,22,369,5.96%,138,81,1461,5.54%
Bulgarien,Sofia,590,28,618,4.53%,51,10,61,16.39%
Burkina Faso,Ouagadougou,1029,206,1235,16.68%,94,28,122,22.95%
Chile,Santiago de Chile,190,3,193,1.55%,686,40,726,5.51%
China,Chengdu,863,195,8825,2.21%,794,31,825,3.76%
China,Hongkong,1932,10,1942,0.51%,838,35,873,4.01%
China,Kanton,3878,2569,41349,6.21%,1556,111,1667,6.66%
China,Peking,97287,393,101217,3.88%,821,564,8774,6.43%
China,Shanghai,91854,4328,96182,4.50%,6047,438,6485,6.75%
China Gesamt,,238483,11032,249515,4.42%,17445,1179,18624,6.33%
