Land,AV-Ort,"Schengen gesamt erteilt","Schengen gesamt abgelehnt","Schengen gesamt zurückgezogen","Schengen gesamt bearbeitet","Schengen Ablehnungsquote","D gesamt erteilt","D gesamt abgelehnt","D gesamt zurückgezogen","D gesamt bearbeitet","D Ablehnungsquote"
Afghanistan,Kabul,586,473,20,1079,"43.84%",1426,339,24,1789,"18.95%"
Ägypten,Kairo,29067,4678,91,33836,"13.83%",5035,1010,105,6150,"16.42%"
Albanien,Tirana,115,5,1,121,"4.13%",5316,1877,101,7294,"25.73%"
Algerien,Algier,4036,1318,21,5375,"24.52%",623,208,23,854,"24.36%"
Angola,Luanda,1095,758,6,1859,"40.77%",32,3,0,35,"8.57%"
Argentinien,Buenos Aires,85,3,1,89,"3.37%",1451,13,22,1486,"0.87%"
Armenien,Eriwan,13777,1165,135,15077,"7.73%",737,71,17,825,"8.61%"
Aserbaidschan,Baku,11406,1788,27,13221,"13.52%",861,148,24,1033,"14.33%"
Äthiopien,Addis Abeba,2990,1101,8,4099,"26.86%",659,503,13,1175,"42.81%"
Australien,Canberra,0,0,0,0,na,12,0,0,12,"0.00%"
Australien,Sydney,71,1,0,72,"1.39%",594,1,14,609,"0.16%"
Gesamt Australien,"",71,1,0,72,"1.39%",606,1,14,621,"0.16%"
Bahrain,Manama,8150,112,20,8282,"1.35%",87,22,7,116,"18.97%"
Bangladesch,Dhaka,4870,1127,15,6012,"18.75%",905,125,30,1060,"11.79%"
Belgien,Brüssel,0,1,0,1,"100.00%",247,30,11,288,"10.42%"
Benin,Cotonou,645,192,18,855,"22.46%",108,31,6,145,"21.38%"
Bolivien,La Paz,1643,31,9,1683,"1.84%",319,1,9,329,"0.30%"
"Bosnien und Herzegowina",Sarajewo,135,26,1,162,"16.05%",15311,1927,95,17333,"11.12%"
Botsuana,Gaborone,1599,9,3,1611,"0.56%",38,0,0,38,"0.00%"
Brasilien,Porto Alegre,13,7,0,20,"35.00%",508,34,16,558,"6.09%"
Brasilien,Recife,13,0,0,13,"0.00%",202,25,10,237,"10.55%"
Brasilien,Rio de Janeiro,36,1,4,41,"2.44%",468,29,23,520,"5.58%"
Brasilien,São Paulo,101,23,0,124,"18.55%",1310,29,4,1343,"2.16%"
Gesamt Brasilien,"",163,31,4,198,"15.66%",2488,117,53,2658,"4.40%"
Bulgarien,Sofia,833,17,5,855,"1.99%",109,14,0,123,"11.38%"
Burkina Faso,Ouagadougou,1161,220,10,1391,"15.82%",158,14,3,175,"8.00%"
Chile,"Santiago de Chile",122,2,14,138,"1.45%",1494,35,147,1676,"2.09%"
China,Chengdu,19438,403,95,19936,"2.02%",1697,89,12,1798,"4.95%"
China,Hongkong,2074,3,0,2077,"0.14%",940,18,13,971,"1.85%"
China,Kanton,73740,2039,93,75872,"2.69%",2441,102,42,2585,"3.95%"
China,Peking,126070,8515,143,134728,"6.32%",9719,405,82,10206,"3.97%"
China,Shanghai,155829,2224,107,158160,"1.41%",7867,706,79,8652,"8.16%"
China,Shenyang,18473,232,12,18717,"1.24%",1398,74,11,1483,"4.99%"
Gesamt China,"",395624,13416,450,409490,"3.28%",24062,1394,239,25695,"5.43%"
Costa Rica,San José,44,0,4,48,"0.00%",312,11,0,323,"3.41%"
Côte d'Ivoire,Abidjan,1672,572,9,2253,"25.39%",190,106,6,302,"35.10%"
