place,decision,value
Ägypten – Kairo,granted,19456
Ägypten – Kairo,rejected,2302
Tunesien – Tunis,granted,13677
Tunesien – Tunis,rejected,4887
Marokko – Rabat,granted,11119
Marokko – Rabat,rejected,3945
Kamerun – Jaunde,granted,5373
Kamerun – Jaunde,rejected,4264
Kenia – Nairobi,granted,3811
Kenia – Nairobi,rejected,1281
Nigeria – Lagos,granted,3749
Nigeria – Lagos,rejected,1279
Ghana – Accra,granted,2663
Ghana – Accra,rejected,1060
Algerien – Algier,granted,2679
Algerien – Algier,rejected,589
Tansania – Daressalam,granted,2988
Tansania – Daressalam,rejected,244
Äthiopien – Addis Abeba,granted,2156
Äthiopien – Addis Abeba,rejected,704
